Tanggal,Aceh,Bali,BangkaBelitung_,Banten,Bengkulu,CentralJava,CentralKalimantan,CentralSulawesi,EastJava,EastKalimantan,EastNusaTenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,NorthKalimantan,NorthMaluku,NorthSulawesi,NorthSumatra,Papua,Riau,RiauIslands,SouthKalimantan,SouthSulawesi,SouthSumatra,SoutheastSulawesi,Yogyakarta,WestJava,WestKalimantan,WestNusaTengg_,WestPapua,WestSulawesi,WestSumatra,UnderInvestigation
14-May-2020,3,110,21,378,39,771,176,86,1418,178,17,7,4074,63,39,41,117,67,48,125,278,39,23,261,496,359,147,110,1224,104,205,85,52,264,21
13-May-2020,4,108,21,366,38,728,183,79,1335,184,15,6,4079,62,39,29,123,46,43,126,268,26,23,258,415,240,58,106,1234,104,223,67,59,237,21
12-May-2020,4,109,21,350,38,694,167,79,1256,184,15,6,4008,62,39,29,124,46,43,126,268,26,23,244,415,206,58,99,1234,100,228,67,59,231,21
11-May-2020,5,100,21,339,35,685,156,68,1143,182,11,7,4023,62,40,18,124,46,50,110,254,28,22,230,410,214,58,91,1185,105,232,67,55,226,21
10-May-2020,5,103,22,355,35,739,156,68,1129,182,11,7,3953,61,40,18,124,46,50,110,254,28,22,230,410,214,58,86,1140,105,232,67,55,226,21
09-May-2020,5,105,21,345,35,720,152,60,1051,181,11,7,3877,61,40,18,124,46,32,110,223,27,24,220,404,223,54,80,1140,103,237,52,55,215,21
08-May-2020,5,101,21,327,12,707,166,60,931,194,11,10,3786,46,40,18,124,45,26,78,211,32,23,213,411,172,52,73,1128,81,238,52,53,207,21
07-May-2020,9,100,23,317,12,695,166,60,928,167,11,14,3687,46,40,11,124,45,24,78,198,32,25,205,401,174,52,73,1109,81,238,52,51,195,22
06-May-2020,9,107,23,324,12,682,164,55,899,167,11,12,3615,46,40,11,124,45,24,82,194,27,31,192,385,158,52,62,1053,79,231,52,52,184,22
05-May-2020,4,113,23,300,10,655,159,55,874,153,11,12,3574,42,33,11,124,45,24,76,193,28,41,179,370,147,52,62,1046,62,235,48,52,167,22
04-May-2020,4,108,15,371,10,624,158,45,829,153,9,12,3499,37,32,11,124,45,24,75,186,26,41,165,368,137,51,58,1007,62,229,42,39,151,22
03-May-2020,5,107,15,357,10,602,135,45,832,148,9,12,3433,37,28,11,116,45,24,69,186,22,41,162,410,145,51,59,817,59,229,42,39,145,24
02-May-2020,4,104,14,352,10,593,140,45,766,140,2,12,3492,31,32,11,116,38,24,63,186,17,58,146,392,124,51,59,812,57,214,42,39,137,24
01-May-2020,6,110,14,343,10,574,139,34,773,122,2,12,3454,31,32,11,109,38,27,63,156,22,65,147,375,124,49,53,784,50,198,41,39,127,26
30-Apr-2020,5,105,7,329,10,563,128,36,705,121,2,12,3318,31,28,11,95,37,27,63,152,21,69,137,332,124,50,41,786,48,195,36,38,108,27
29-Apr-2020,4,115,7,314,10,551,110,36,625,106,0,12,3282,31,30,11,89,23,27,62,136,22,69,128,310,119,44,47,823,48,202,36,34,106,27
