Tanggal,Aceh,Bali,BangkaBelitung_,Banten,Bengkulu,CentralJava,CentralKalimantan,CentralSulawesi,EastJava,EastKalimantan,EastNusaTenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,NorthKalimantan,NorthMaluku,NorthSulawesi,NorthSumatra,Papua,Riau,RiauIslands,SouthKalimantan,SouthSulawesi,SouthSumatra,SoutheastSulawesi,Yogyakarta,WestJava,WestKalimantan,WestNusaTengg_,WestPapua,WestSulawesi,WestSumatra,UnderInvestigation
14-May-2020,0,5,0,13,2,43,3,16,91,8,3,2,114,1,0,12,0,27,9,4,10,13,0,3,93,119,91,4,9,0,6,18,6,32,0
13-May-2020,0,4,0,21,0,34,16,0,103,2,0,0,179,0,0,0,6,0,0,0,0,0,5,14,0,43,0,12,11,6,5,0,0,20,0
12-May-2020,0,14,0,18,3,9,11,12,133,10,4,0,99,0,0,18,1,0,3,19,14,8,5,14,25,1,0,10,52,3,9,0,6,20,0
11-May-2020,0,3,0,8,0,2,0,0,34,0,0,0,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,56,0,0,0,0,0,0
10-May-2020,0,5,1,10,0,19,4,8,83,4,0,0,134,2,0,0,0,0,18,0,31,2,0,10,12,0,5,7,0,2,0,17,0,13,0
09-May-2020,0,6,0,18,23,26,1,0,135,5,0,0,101,15,0,0,0,4,6,22,12,2,1,7,2,51,1,3,33,23,18,0,2,16,0
08-May-2020,0,13,0,10,0,29,0,0,17,27,0,0,100,0,3,9,0,0,2,15,13,3,2,8,24,0,1,6,23,0,12,0,2,18,-1
07-May-2020,0,10,0,8,0,13,2,5,46,0,0,4,85,0,0,0,0,0,0,1,4,5,0,13,19,17,0,15,61,5,11,0,0,14,0
06-May-2020,5,0,0,29,2,42,5,0,50,14,0,0,83,4,8,0,0,0,0,11,1,0,1,13,25,11,0,1,20,17,4,4,0,17,0
05-May-2020,0,6,8,12,0,51,1,11,47,1,2,0,148,5,1,0,1,0,0,1,7,3,5,14,33,14,5,6,48,0,16,6,14,18,0
04-May-2020,0,9,0,14,0,22,23,0,7,5,0,0,76,0,4,0,8,0,0,6,0,5,0,3,6,0,0,0,198,3,0,0,0,8,-2
03-May-2020,1,25,1,5,0,9,0,0,80,8,7,0,66,6,0,0,0,9,0,6,0,8,3,16,24,29,0,1,11,2,19,0,0,13,0
02-May-2020,0,2,0,9,0,21,1,11,3,18,0,0,80,0,0,0,7,0,0,0,30,3,0,0,30,0,2,10,31,7,17,1,1,10,-2
01-May-2020,1,13,9,14,0,22,11,1,76,2,0,0,142,0,4,0,15,1,0,0,5,1,0,9,56,6,0,9,0,3,3,5,1,24,-1
30-Apr-2020,1,7,0,16,0,13,18,0,86,15,2,0,83,0,0,0,8,14,1,3,16,0,0,13,26,6,9,1,3,0,0,0,4,3,0
29-Apr-2020,0,0,0,0,4,29,6,5,15,4,0,0,90,0,2,1,0,0,1,3,12,1,0,7,12,1,8,1,40,7,9,0,1,1,0
28-Apr-2020,0,21,0,6,0,16,9,6,61,8,0,1,133,0,2,0,2,0,3,0,26,1,3,0,13,14,0,10,18,0,15,21,2,23,1
27-Apr-2020,0,8,0,12,0,17,8,0,11,2,0,-1,71,0,0,0,1,0,0,0,10,0,1,4,0,0,0,1,39,0,11,0,0,19,0
26-Apr-2020,0,3,1,0,0,28,4,0,15,8,0,1,114,11,4,0,6,12,4,6,5,1,2,0,8,10,4,3,5,0,15,0,0,5,0
25-Apr-2020,1,6,0,11,0,46,6,4,80,12,0,2,85,3,0,5,6,0,0,9,0,2,0,14,12,13,0,2,45,1,27,1,2,1,0
24-Apr-2020,1,10,1,22,0,37,11,3,26,11,0,5,82,4,0,0,0,0,5,1,6,0,0,18,23,13,4,1,78,0,38,2,25,10,0
23-Apr-2020,0,15,0,0,0,59,1,0,26,5,0,0,134,1,11,0,0,2,11,2,7,1,2,7,10,4,0,1,22,19,7,5,0,5,-1
22-Apr-2020,0,2,0,-4,0,30,15,2,35,1,0,0,123,0,0,0,0,8,0,9,5,0,0,9,13,0,0,3,6,4,15,1,1,5,0
21-Apr-2020,0,10,1,0,4,98,7,0,13,9,0,3,163,5,1,0,3,0,0,1,11,1,2,2,4,0,0,3,9,6,21,0,0,2,0
20-Apr-2020,0,5,0,17,0,2,14,0,0,0,0,0,65,0,0,0,5,0,0,2,0,4,0,0,0,0,0,2,51,0,11,0,0,2,1
19-Apr-2020,1,4,1,3,0,20,5,3,35,5,0,0,108,0,0,0,19,0,0,2,12,0,0,4,27,5,9,0,55,0,6,2,0,1,0
