Tanggal,Aceh,Bali,BangkaBelitung_,Banten,Bengkulu,CentralJava,CentralKalimantan,CentralSulawesi,EastJava,EastKalimantan,EastNusaTenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,NorthKalimantan,NorthMaluku,NorthSulawesi,NorthSumatra,Papua,Riau,RiauIslands,SouthKalimantan,SouthSulawesi,SouthSumatra,SoutheastSulawesi,Yogyakarta,WestJava,WestKalimantan,WestNusaTengg_,WestPapua,WestSulawesi,WestSumatra,UnderInvestigation
14-May-2020,17,337,29,593,42,1066,223,111,1863,238,19,21,5668,66,66,62,138,81,83,202,332,94,111,294,840,441,167,185,1565,129,350,88,74,371,21
13-May-2020,17,332,29,580,40,1023,220,95,1772,230,16,19,5554,65,66,50,138,54,74,198,322,81,111,291,747,322,76,181,1556,129,344,70,68,339,21
12-May-2020,17,328,29,559,40,989,204,95,1669,228,16,19,5375,65,66,50,132,54,74,198,322,81,106,277,747,279,76,169,1545,123,339,70,68,319,21
11-May-2020,17,314,29,541,37,980,193,83,1536,218,12,19,5276,65,66,32,131,54,71,179,308,73,101,263,722,278,76,159,1493,120,330,70,62,299,21
10-May-2020,17,311,29,533,37,978,193,83,1502,218,12,19,5190,64,66,32,131,54,71,179,308,73,101,263,722,278,76,153,1437,120,330,70,62,299,21
09-May-2020,17,306,28,523,37,959,189,75,1419,214,12,19,5056,62,66,32,131,54,53,179,277,71,101,253,710,278,71,146,1437,118,330,53,62,286,21
08-May-2020,17,300,28,505,14,933,188,75,1284,209,12,19,4955,47,66,32,131,50,47,157,265,69,100,246,708,227,70,143,1404,95,312,53,60,270,21
07-May-2020,17,287,28,495,14,904,188,75,1267,182,12,19,4855,47,63,23,131,50,45,142,252,66,98,238,684,227,69,137,1381,95,300,53,58,252,22
06-May-2020,17,277,28,487,14,891,186,70,1221,182,12,15,4770,47,63,23,131,50,45,141,248,61,98,225,665,210,69,122,1320,90,289,53,58,238,22
05-May-2020,12,277,28,458,12,849,181,70,1171,168,12,15,4687,43,55,23,131,50,45,130,247,61,97,212,640,199,69,121,1300,73,285,49,58,221,22
04-May-2020,12,271,20,446,12,798,180,59,1124,167,10,15,4539,38,54,23,130,50,45,129,240,58,92,198,607,185,64,115,1252,73,269,43,44,203,22
03-May-2020,12,262,20,432,12,776,157,59,1117,162,10,15,4463,38,50,23,122,50,45,123,240,53,92,195,601,185,64,115,1054,70,269,43,44,195,24
02-May-2020,11,237,19,427,12,767,157,59,1037,154,3,15,4397,32,50,23,122,41,45,117,240,45,89,179,577,156,64,114,1043,68,250,43,44,182,24
01-May-2020,11,235,19,418,12,746,156,48,1034,136,3,15,4317,32,50,23,115,41,45,117,210,42,89,179,547,156,62,104,1012,61,233,42,43,172,26
30-Apr-2020,10,222,10,404,12,724,145,47,958,134,3,15,4175,32,46,23,100,40,45,117,205,41,89,170,491,150,62,95,1012,58,230,37,42,148,27
29-Apr-2020,9,215,10,388,12,711,127,47,872,119,1,15,4092,32,46,23,92,26,44,114,189,41,89,157,465,144,53,94,1009,58,230,37,38,145,27
28-Apr-2020,9,215,10,388,8,682,121,42,857,115,1,15,4002,32,44,22,92,26,43,111,177,40,89,150,453,143,45,93,969,51,221,37,37,144,27
27-Apr-2020,9,194,10,382,8,666,112,36,796,107,1,14,3869,32,42,22,90,26,40,111,151,39,86,150,440,129,45,83,951,51,206,16,35,121,26
26-Apr-2020,9,186,10,370,8,649,104,36,785,105,1,15,3798,32,42,22,89,26,40,111,141,39,85,146,440,129,45,82,912,51,195,16,35,102,26
25-Apr-2020,9,183,9,370,8,621,100,36,770,97,1,14,3684,21,38,22,83,14,36,105,136,38,83,146,432,119,41,79,907,51,180,16,35,97,26
24-Apr-2020,8,177,9,359,8,575,94,32,690,85,1,12,3599,18,38,17,77,14,36,96,136,36,83,132,420,106,41,77,862,50,153,15,33,96,26
23-Apr-2020,7,167,8,337,8,538,83,29,664,74,1,7,3517,14,38,17,77,14,31,95,130,36,83,114,397,93,37,76,784,50,115,13,8,86,26
22-Apr-2020,7,152,8,337,8,479,82,29,638,69,1,7,3383,13,27,17,77,12,20,93,123,35,81,107,387,89,37,75,762,31,108,8,8,81,27
21-Apr-2020,7,150,8,341,8,449,67,27,603,68,1,7,3260,13,27,17,77,4,20,84,118,35,81,98,374,89,37,72,756,27,93,7,7,76,27
20-Apr-2020,7,140,7,341,4,351,60,27,590,59,1,4,3097,8,26,17,74,4,20,83,107,34,79,96,370,89,37,69,747,21,72,7,7,74,27
19-Apr-2020,7,135,7,324,4,349,46,27,590,59,1,4,3032,8,26,17,69,4,20,81,107,30,79,96,370,89,37,67,696,21,61,7,7,72,26
18-Apr-2020,6,131,6,321,4,329,41,24,555,54,1,4,2924,8,26,17,50,4,20,79,95,30,79,92,343,84,28,67,641,21,55,5,7,71,26
17-Apr-2020,5,124,6,311,4,304,35,24,522,44,1,4,2815,8,26,14,47,4,18,79,89,26,58,74,332,54,27,64,632,21,51,5,7,62,26
16-Apr-2020,5,113,6,297,4,300,34,22,514,44,1,4,2670,7,25,14,28,4,18,79,80,24,38,59,271,37,26,62,570,21,45,5,7,55,27
15-Apr-2020,5,98,5,281,4,292,33,22,499,35,1,1,2474,6,20,14,20,4,18,78,75,20,32,49,242,22,24,62,559,13,37,2,7,55,27
14-Apr-2020,5,92,4,280,4,278,25,19,475,35,1,1,2335,5,21,11,16,2,17,72,68,20,26,37,231,19,16,62,530,13,37,2,5,48,27
13-Apr-2020,5,86,4,285,4,203,25,19,440,35,1,1,2186,4,21,11,16,2,17,67,68,20,21,34,223,18,16,57,540,13,37,2,5,45,26
12-Apr-2020,5,81,4,281,4,200,24,19,386,35,1,1,2044,4,20,11,16,2,17,65,63,16,21,34,222,21,16,41,450,13,37,3,5,44,35
11-Apr-2020,5,79,4,279,4,144,24,19,267,35,1,1,1948,4,20,3,16,2,13,59,62,16,21,29,178,21,16,41,421,10,27,2,5,31,35
10-Apr-2020,5,75,3,243,4,144,24,14,256,35,1,1,1753,2,20,3,16,2,13,59,38,13,21,29,167,21,15,41,388,10,25,2,3,31,35
09-Apr-2020,6,63,3,218,2,144,20,5,223,32,1,0,1706,2,15,3,16,2,8,59,38,12,22,22,138,17,15,41,376,10,16,2,2,18,36
08-Apr-2020,6,49,2,212,2,140,20,5,196,32,0,0,1470,2,15,3,16,2,8,59,38,12,9,22,127,16,11,41,365,10,10,2,2,18,34
07-Apr-2020,5,43,2,194,2,133,20,5,194,31,0,0,1369,2,12,1,15,1,8,26,26,12,9,18,127,16,7,41,343,10,10,2,2,18,34
06-Apr-2020,5,43,2,187,2,132,20,4,189,31,0,0,1232,2,12,1,15,1,5,26,26,12,9,18,113,16,7,40,263,12,10,2,2,18,34
05-Apr-2020,5,35,2,177,2,120,11,4,188,30,0,0,1124,2,11,1,8,1,3,25,26,11,9,16,83,16,6,34,252,10,7,2,2,8,42
04-Apr-2020,5,32,2,173,2,120,11,4,152,24,0,0,1028,2,11,1,8,1,3,25,18,10,8,8,82,12,5,33,247,10,7,2,1,8,37
03-Apr-2020,5,27,2,170,2,114,12,4,155,22,0,0,971,2,12,1,8,1,3,22,16,10,8,8,82,12,6,27,225,10,7,2,1,8,31
02-Apr-2020,5,25,2,164,1,104,9,2,104,21,0,0,897,2,8,1,2,1,3,22,10,7,7,8,66,11,3,27,223,10,6,2,1,8,28
01-Apr-2020,5,25,2,152,1,104,9,2,104,21,0,0,808,2,8,1,2,1,3,22,10,3,7,8,66,5,3,28,220,10,6,2,1,8,28
31-Mar-2020,5,19,2,142,1,93,9,3,93,20,0,0,747,2,8,1,2,1,2,19,10,3,7,8,50,5,3,23,198,9,4,2,1,8,31
30-Mar-2020,5,19,1,128,0,81,7,3,91,17,0,0,698,2,4,1,2,1,2,13,9,3,6,5,50,2,3,18,180,7,2,2,1,8,42
29-Mar-2020,5,10,0,106,0,63,7,2,90,17,0,0,675,1,4,1,2,1,2,8,9,2,5,1,47,2,3,22,149,8,2,2,1,5,33
28-Mar-2020,4,9,0,103,0,55,7,2,77,17,0,0,627,1,4,1,2,1,2,8,7,1,5,1,33,2,3,22,119,3,2,2,0,5,30
27-Mar-2020,0,9,0,84,0,43,6,1,66,11,0,0,598,1,4,1,2,1,2,8,7,1,5,1,29,1,3,22,98,4,4,2,0,5,25
26-Mar-2020,0,9,0,67,0,40,6,1,59,11,0,0,515,1,3,1,0,1,2,8,7,2,5,1,27,1,3,16,78,4,2,0,0,3,19
25-Mar-2020,0,0,0,67,0,38,3,0,51,11,0,0,463,1,1,1,0,1,2,7,3,2,5,2,13,1,3,17,73,3,2,0,0,0,11
24-Mar-2020,0,0,0,65,0,19,3,0,51,11,0,0,424,1,1,1,0,1,1,7,3,1,5,3,4,1,3,6,60,3,1,0,0,0,5
23-Mar-2020,0,0,0,56,0,15,2,0,41,11,0,0,353,1,1,1,0,1,1,2,2,1,5,1,2,0,3,5,59,2,0,0,0,0,8
22-Mar-2020,0,0,0,47,0,15,2,0,41,9,0,0,307,0,1,1,0,0,1,2,2,1,4,1,2,0,3,5,59,2,0,0,0,0,6
21-Mar-2020,0,0,0,43,0,14,2,0,26,10,0,0,268,0,1,0,0,0,1,2,0,1,4,0,4,0,3,5,55,2,0,0,0,0,0
20-Mar-2020,0,0,0,37,0,12,2,0,15,10,0,0,215,0,1,0,0,0,1,2,0,1,4,0,2,0,3,4,41,2,0,0,0,0,0
19-Mar-2020,0,0,0,27,0,12,0,0,9,3,0,0,210,0,1,0,0,0,1,2,0,1,3,0,2,0,3,5,26,2,0,0,0,0,0
