Tanggal,Aceh,Bali,BangkaBelitung_,Banten,Bengkulu,CentralJava,CentralKalimantan,CentralSulawesi,EastJava,EastKalimantan,EastNusaTenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,NorthKalimantan,NorthMaluku,NorthSulawesi,NorthSumatra,Papua,Riau,RiauIslands,SouthKalimantan,SouthSulawesi,SouthSumatra,SoutheastSulawesi,Yogyakarta,WestJava,WestKalimantan,WestNusaTengg_,WestPapua,WestSulawesi,WestSumatra,UnderInvestigation
14-May-2020,1,4,1,57,2,66,7,4,167,3,1,1,452,0,5,4,1,3,5,24,6,6,11,9,51,9,3,7,99,3,7,1,2,21,0
13-May-2020,1,4,1,57,1,66,7,3,163,3,0,1,449,0,5,4,1,0,5,24,6,6,11,9,49,9,2,7,98,3,7,1,2,19,0
12-May-2020,1,4,1,56,1,66,7,3,155,3,0,1,443,0,5,4,1,0,5,24,6,6,11,9,49,9,2,7,98,3,6,1,2,18,0
11-May-2020,1,4,1,56,1,66,7,3,149,2,0,1,441,0,5,2,1,0,4,21,6,6,11,9,47,9,2,7,95,3,6,1,2,17,0
10-May-2020,1,4,1,56,1,66,7,3,143,2,0,1,434,0,5,2,1,0,4,21,6,6,11,9,47,9,2,7,95,3,6,1,2,17,0
09-May-2020,1,4,1,56,1,66,7,3,141,2,0,1,427,0,5,2,1,0,4,21,6,6,10,9,46,6,2,7,95,3,6,1,2,17,0
08-May-2020,1,4,1,56,1,65,7,3,138,2,0,1,424,0,5,2,1,0,4,16,6,6,10,9,46,6,2,7,92,3,5,1,2,17,0
07-May-2020,1,4,1,56,1,64,7,3,133,2,0,1,423,0,5,0,1,0,4,16,6,6,10,9,45,6,2,7,90,3,5,1,2,16,0
06-May-2020,1,4,1,41,1,64,7,3,123,2,0,1,414,0,5,0,1,0,4,16,6,6,10,9,45,5,2,7,90,3,5,1,2,16,0
05-May-2020,1,4,1,41,1,62,7,3,117,2,0,1,409,0,5,0,1,0,4,13,6,6,10,9,42,5,2,7,87,3,4,1,2,16,0
