Tanggal,Aceh,Bali,Bangka Belitung…,Banten,Bengkulu,Central Java,Central Kalimantan,Central Sulawesi,East Java,East Kalimantan,East Nusa Tenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,North Kalimantan,North Maluku,North Sulawesi,North Sumatra,Papua,Riau,Riau Islands,South Kalimantan,South Sulawesi,South Sumatra,Southeast Sulawesi,Yogyakarta,West Java,West Kalimantan,West Nusa Tengg…,West Papua,West Sulawesi,West Sumatra
19-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26-Mar-2020,NaN,0,NaN,5.33861423646125,NaN,4.03001649745411,0,0,2.58043772937203,3.73439067792269,NaN,NaN,5.4088173274532,0,4.4165082750002,0,NaN,0,7.00000000000001,3.5,0,7.00000000000001,9.49840814199706,0,1.86423694344152,0,Inf,4.17145414250299,4.4165082750002,7.00000000000001,0,NaN,NaN,0
27-Mar-2020,NaN,0,NaN,5.9178398038968,NaN,3.80165721562868,4.4165082750002,0,3.27484840245762,50.9077862813919,NaN,NaN,4.74316177222769,0,3.5,0,0,0,7.00000000000001,3.5,0,Inf,21.7439860365377,0,1.81442055024134,0,Inf,2.84618606468047,5.56811545859673,7.00000000000001,0,0,NaN,0
28-Mar-2020,0,0,NaN,5.55451618883868,NaN,3.5460906833958,3.87306328965578,0,4.46899747821305,9.14393505096496,NaN,NaN,5.70854249021308,0,3.5,0,0,0,7.00000000000001,3.5,0,Inf,21.7439860365377,0,2.29930808087197,0,Inf,3.27484840245762,6.2867209064252,11.9665790394602,0,0,NaN,0
29-Mar-2020,0,0,NaN,5.96591788952498,NaN,3.38100660861172,3.87306328965578,0,6.17120097225458,7.62911315076072,NaN,NaN,6.15845432046646,0,3.5,Inf,0,0,7.00000000000001,3.5,3.22591794432859,7.00000000000001,21.7439860365377,Inf,1.53691150353157,0,Inf,3.27484840245762,5.23746097725853,3.5,0,0,0,0
30-Mar-2020,0,0,0,5.86930691239401,NaN,2.87715445603635,3.87306328965578,0,6.08567252114297,11.1459426664731,NaN,NaN,7.11701183827167,7.00000000000001,3.5,Inf,0,Inf,7.00000000000001,2.59217043542028,3.22591794432859,4.4165082750002,26.6124881184676,3.01473590651375,1.50736795325688,0,Inf,3.78788512857927,4.34996041268186,3.87306328965578,0,0,0,0
31-Mar-2020,0,0,0,6.20909037427644,0,3.05512586491613,4.4165082750002,0,8.07630055751003,8.11597518686034,NaN,NaN,8.5674702788929,7.00000000000001,2.33333333333333,Inf,0,Inf,7.00000000000001,4.85917894166324,4.03001649745411,4.4165082750002,14.420299019743,4.94686536827997,1.92104178525025,3.01473590651375,Inf,3.61085420752234,4.06394082701832,4.4165082750002,3.5,0,0,0
01-Apr-2020,0,0,0,5.92297598060207,0,4.81923661457825,4.4165082750002,0,6.80924329685169,7.50359794191757,NaN,NaN,8.7135870146023,7.00000000000001,2.33333333333333,Inf,0,Inf,11.9665790394602,4.23709142226396,4.03001649745411,11.9665790394602,14.420299019743,3.5,2.98640621863824,3.01473590651375,Inf,9.7236796828636,4.39826916770994,4.03001649745411,4.4165082750002,0,0,0
02-Apr-2020,0,4.74920407099853,0,5.42021026331393,0,5.07794049895477,11.9665790394602,7.00000000000001,8.55958487878057,7.50359794191757,NaN,NaN,8.7441463094184,7.00000000000001,4.94686536827997,Inf,0,Inf,11.9665790394602,4.79638779276007,13.6035074691231,3.87306328965578,14.420299019743,2.33333333333333,5.42843278712818,2.02345378422521,Inf,9.2729048764728,4.61894471201889,5.29529558156221,4.4165082750002,0,0,4.94686536827997
03-Apr-2020,0,4.4165082750002,0,6.88249168625198,0,4.97644980630742,7.00000000000001,3.5,5.68306233924868,7.00000000000001,NaN,NaN,10.0096405533458,7.00000000000001,4.4165082750002,Inf,3.5,Inf,11.9665790394602,4.79638779276007,5.86930691239401,2.10720996964787,10.3233889314986,2.33333333333333,4.66800168561427,1.95260061955791,7.00000000000001,23.6922003937009,5.83785111446378,5.29529558156221,8.67028838092666,Inf,0,10.3233889314986
04-Apr-2020,21.7439860365377,3.8249798535671,0,9.35669137201668,0,6.21928737045392,10.7349335388257,7.00000000000001,7.13455068580958,14.0703613896857,NaN,NaN,9.8135025655141,7.00000000000001,4.79638779276007,Inf,3.5,Inf,11.9665790394602,4.25828003905822,5.13735044230604,2.10720996964787,10.3233889314986,2.33333333333333,5.33066136111729,2.70796965064179,9.49840814199706,11.9665790394602,6.64420628625036,4.03001649745411,3.87306328965578,Inf,0,10.3233889314986
05-Apr-2020,Inf,3.87306328965578,0,9.46348661396359,0,7.53003403470203,10.7349335388257,7.00000000000001,6.58677377210109,8.54254687221667,NaN,NaN,9.51497253148378,7.00000000000001,4.79638779276007,Inf,3.5,Inf,11.9665790394602,4.25828003905822,4.5736247574924,2.84618606468047,8.25474709387562,1.75,8.53189719583306,2.33333333333333,7.00000000000001,11.1459426664731,9.23347145544966,21.7439860365377,3.87306328965578,Inf,7.00000000000001,10.3233889314986
06-Apr-2020,Inf,5.94057435757841,7.00000000000001,12.7995445436368,0,9.93550274045901,4.62176415479585,16.8659458775725,6.63854588730536,8.07630055751003,NaN,NaN,8.53967511940074,Inf,4.4165082750002,Inf,2.40807136346136,Inf,5.29529558156221,7.00000000000001,4.5736247574924,3.5,11.9665790394602,3.78788512857927,5.95074767131072,2.33333333333333,5.72647529370876,6.07637257211401,12.795533572915,9.00196987795651,3.01473590651375,Inf,7.00000000000001,5.98328951973009
07-Apr-2020,Inf,5.94057435757841,Inf,15.5498289791778,7.00000000000001,13.562642105814,6.07637257211401,9.49840814199706,6.59907932933232,11.071250821093,NaN,NaN,8.0096821177617,Inf,11.9665790394602,Inf,2.40807136346136,Inf,3.5,15.4691960290426,5.07794049895477,3.5,19.3066124261527,5.98328951973009,5.20512467993405,4.17145414250299,5.72647529370876,8.39338552309766,8.83048828815363,46.051694352724,5.29529558156221,Inf,7.00000000000001,5.98328951973009
