Tanggal,Aceh,Bali,Bangka Belitung…,Banten,Bengkulu,Central Java,Central Kalimantan,Central Sulawesi,East Java,East Kalimantan,East Nusa Tenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,North Kalimantan,North Maluku,North Sulawesi,North Sumatra,Papua,Riau,Riau Islands,South Kalimantan,South Sulawesi,South Sumatra,Southeast Sulawesi,Yogyakarta,West Java,West Kalimantan,West Nusa Tengg…,West Papua,West Sulawesi,West Sumatra
19-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26-Mar-2020,NaN,Inf,NaN,1.13864224132152,NaN,1.18767321898012,Inf,Inf,1.3081528758881,1.20395486046509,NaN,NaN,1.13672502001222,Inf,1.16993081275869,Inf,NaN,Inf,1.10408951367381,1.21901365420448,Inf,1.10408951367381,1.07570373984278,Inf,1.45036146591896,Inf,1,1.18076720554999,1.16993081275869,1.10408951367381,Inf,NaN,NaN,Inf
27-Mar-2020,NaN,Inf,NaN,1.1242637897365,NaN,1.20000729745325,1.16993081275869,Inf,1.23572493721218,1.01370885629547,NaN,NaN,1.15735369743944,Inf,1.21901365420448,Inf,Inf,Inf,1.10408951367381,1.21901365420448,Inf,1,1.03239118471,Inf,1.4652432001685,Inf,1,1.27575153190417,1.13256509851144,1.10408951367381,Inf,Inf,NaN,Inf
28-Mar-2020,Inf,Inf,NaN,1.13291033440219,NaN,1.21587986006443,1.19598024562548,Inf,1.16777621478563,1.07875115690662,NaN,NaN,1.12910218943859,Inf,1.21901365420448,Inf,Inf,Inf,1.10408951367381,1.21901365420448,Inf,1,1.03239118471,Inf,1.35182972767527,Inf,1,1.23572493721218,1.11656360431753,1.05963402266705,Inf,Inf,NaN,Inf
29-Mar-2020,Inf,Inf,NaN,1.12320308276721,NaN,1.22753988746856,1.19598024562548,Inf,1.11887045900119,1.09511079204825,NaN,NaN,1.11913060099164,Inf,1.21901365420448,1,Inf,Inf,1.10408951367381,1.21901365420448,1.23969849336562,1.10408951367381,1.03239118471,1,1.56988137654402,Inf,1,1.23572493721218,1.14150106862808,1.21901365420448,Inf,Inf,Inf,Inf
30-Mar-2020,Inf,Inf,Inf,1.12535319672314,NaN,1.27241177653826,1.19598024562548,Inf,1.12063804449859,1.06416270333165,NaN,NaN,1.10229349706634,1.10408951367381,1.21901365420448,1,Inf,1,1.10408951367381,1.30656337332913,1.23969849336562,1.16993081275869,1.02638809625704,1.25849895064183,1.58381960876658,Inf,1,1.20080305965984,1.1727432113719,1.19598024562548,Inf,Inf,Inf,Inf
31-Mar-2020,Inf,Inf,Inf,1.11810384539328,Inf,1.25467938951749,1.16993081275869,Inf,1.08961545149945,1.08915839771651,NaN,NaN,1.08426737970142,1.10408951367381,1.34590019263236,1,Inf,1,1.10408951367381,1.15332257892917,1.18767321898012,1.16993081275869,1.04924143725562,1.15041007378781,1.43450289958509,1.25849895064183,1,1.21162460360598,1.18596922614644,1.16993081275869,1.21901365420448,Inf,Inf,Inf
01-Apr-2020,Inf,Inf,Inf,1.1241496049065,Inf,1.15468692715202,1.16993081275869,Inf,1.10715652352144,1.09677637519235,NaN,NaN,1.0827973785643,1.10408951367381,1.34590019263236,1,Inf,1,1.05963402266705,1.17773173393182,1.18767321898012,1.05963402266705,1.04924143725562,1.21901365420448,1.26124681728741,1.25849895064183,1,1.07388665195772,1.17069248775585,1.18767321898012,1.16993081275869,Inf,Inf,Inf
02-Apr-2020,Inf,1.15713853591175,Inf,1.1364188662551,Inf,1.14625675190852,1.05963402266705,1.10408951367381,1.08434819553617,1.09677637519235,NaN,NaN,1.08249639607486,1.10408951367381,1.15041007378781,1,Inf,1,1.05963402266705,1.15547835216654,1.05227402814137,1.19598024562548,1.04924143725562,1.34590019263236,1.13619875797759,1.4085438884287,1,1.07761442776993,1.16191108313873,1.1398522810476,1.16993081275869,Inf,Inf,1.15041007378781
03-Apr-2020,Inf,1.16993081275869,Inf,1.1059577068166,Inf,1.14945219429956,1.10408951367381,1.21901365420448,1.12971704240149,1.10408951367381,NaN,NaN,1.07170191454523,1.10408951367381,1.16993081275869,1,1.21901365420448,1,1.05963402266705,1.15547835216654,1.12535319672314,1.38949549437314,1.06944880005339,1.34590019263236,1.1600801059775,1.42616163522738,1.10408951367381,1.02968851580259,1.12606952709871,1.1398522810476,1.08322761045516,1,Inf,1.06944880005339
04-Apr-2020,1.03239118471,1.19867394942352,Inf,1.07689335443972,Inf,1.11789921435462,1.06669950157661,1.10408951367381,1.10202961647126,1.05049651792412,NaN,NaN,1.07318620615658,1.10408951367381,1.15547835216654,1,1.21901365420448,1,1.05963402266705,1.17677344682513,1.14444875795283,1.38949549437314,1.06944880005339,1.34590019263236,1.13886282295891,1.29170834209075,1.07570373984278,1.05963402266705,1.10995952320001,1.18767321898012,1.19598024562548,1,Inf,1.06944880005339
05-Apr-2020,1,1.19598024562548,Inf,1.07599345275738,Inf,1.09642074067986,1.06669950157661,1.10408951367381,1.11096964121248,1.08452334467342,NaN,NaN,1.07556709047677,1.10408951367381,1.15547835216654,1,1.21901365420448,1,1.05963402266705,1.17677344682513,1.16364013279278,1.27575153190417,1.08759574725442,1.48599428913695,1.08463319207432,1.34590019263236,1.10408951367381,1.06416270333165,1.07795849381946,1.03239118471,1.19598024562548,1,1.10408951367381,1.06944880005339
06-Apr-2020,1,1.12375995147661,1.10408951367381,1.05564721252536,Inf,1.07225582953427,1.16180471998219,1.04195362743721,1.11005826087366,1.08961545149945,NaN,NaN,1.08455293764842,1,1.16993081275869,1,1.33354830559086,1,1.1398522810476,1.10408951367381,1.16364013279278,1.21901365420448,1.05963402266705,1.20080305965984,1.12353581209818,1.34590019263236,1.12867293805389,1.12083341377696,1.05566513279449,1.08004153648474,1.25849895064183,1,1.10408951367381,1.12282426199355
07-Apr-2020,1,1.12375995147661,1,1.04558430389429,1.10408951367381,1.05243559333826,1.12083341377696,1.07570373984278,1.11075165439559,1.06460926793625,NaN,NaN,1.09039352465614,1,1.05963402266705,1,1.33354830559086,1,1.21901365420448,1.04582727473776,1.14625675190852,1.21901365420448,1.03655432261531,1.12282426199355,1.14243996720541,1.18076720554999,1.12867293805389,1.08608832645019,1.08165770216815,1.01516534655549,1.1398522810476,1,1.10408951367381,1.12282426199355
