Tanggal,Aceh,Bali,BangkaBelitung_,Banten,Bengkulu,CentralJava,CentralKalimantan,CentralSulawesi,EastJava,EastKalimantan,EastNusaTenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,NorthKalimantan,NorthMaluku,NorthSulawesi,NorthSumatra,Papua,Riau,RiauIslands,SouthKalimantan,SouthSulawesi,SouthSumatra,SoutheastSulawesi,Yogyakarta,WestJava,WestKalimantan,WestNusaTengg_,WestPapua,WestSulawesi,WestSumatra,UnderInvestigation
15-May-2020,13,232,7,158,1,234,87,21,294,61,1,14,1276,3,22,17,23,12,30,53,48,53,77,24,293,73,24,71,259,22,188,2,22,88,0
14-May-2020,13,223,7,158,1,229,40,21,278,57,1,13,1162,3,22,17,20,11,30,53,48,49,77,24,293,73,17,68,242,22,138,2,20,86,0
13-May-2020,12,220,7,157,1,229,30,13,274,46,1,12,1026,3,22,17,14,8,26,48,48,49,77,24,283,73,16,68,237,22,114,2,7,83,0
12-May-2020,12,215,7,153,1,229,30,13,258,41,1,12,924,3,22,17,7,8,26,48,48,49,72,24,283,64,16,63,213,20,105,2,7,70,0
11-May-2020,11,210,7,146,1,229,30,12,244,34,1,11,812,3,21,12,7,8,17,48,48,39,68,24,265,55,16,61,213,12,92,2,5,56,0
10-May-2020,11,204,6,122,1,173,30,12,230,34,1,11,803,3,21,12,7,8,17,48,48,39,68,24,265,55,16,60,202,12,92,2,5,56,0
09-May-2020,11,197,6,122,1,173,30,12,227,31,1,11,752,1,21,12,6,8,17,48,48,38,67,24,260,49,15,59,202,12,87,0,5,54,0
08-May-2020,11,195,6,122,1,161,29,12,215,13,1,8,745,1,18,12,6,5,17,48,48,28,67,24,251,49,15,59,184,12,80,0,5,46,0
07-May-2020,7,183,4,122,1,145,15,12,206,13,1,4,745,1,18,12,6,5,17,48,48,28,63,24,238,47,15,57,182,11,57,0,5,41,0
06-May-2020,7,166,4,122,1,145,15,12,199,13,1,2,741,1,18,12,6,5,17,43,48,28,57,24,235,47,15,53,177,8,53,0,4,38,0
