Date,Province,Confirmed,Recovered,Deaths,Active
2020-05-15,Aceh,17,13,1,3
2020-05-15,Bali,343,232,4,107
2020-05-15,Bangka Belitung Islands,29,7,1,21
2020-05-15,Banten,622,158,60,404
2020-05-15,Bengkulu,53,1,2,50
2020-05-15,Central Java,1109,234,70,805
2020-05-15,Central Kalimantan,227,87,11,129
2020-05-15,Central Sulawesi,112,21,4,87
2020-05-15,East Java,1921,294,178,1449
2020-05-15,East Kalimantan,251,61,3,187
2020-05-15,East Nusa Tenggara,19,1,1,17
2020-05-15,Gorontalo,22,14,1,7
2020-05-15,Jakarta,5774,1276,460,4038
2020-05-15,Jambi,69,3,0,66
2020-05-15,Lampung,66,22,5,39
2020-05-15,Maluku,62,17,4,41
2020-05-15,North Kalimantan,141,23,1,117
2020-05-15,North Maluku,85,12,3,70
2020-05-15,North Sulawesi,105,30,5,70
2020-05-15,North Sumatra,202,53,24,125
2020-05-15,Papua,335,48,6,281
2020-05-15,Riau,95,53,6,36
2020-05-15,Riau Islands,115,77,11,27
2020-05-15,South Kalimantan,363,24,9,330
2020-05-15,South Sulawesi,871,293,51,527
2020-05-15,South Sumatra,458,73,9,376
2020-05-15,Southeast Sulawesi,183,24,5,154
2020-05-15,Yogyakarta,188,71,7,110
2020-05-15,West Java,1596,259,100,1237
2020-05-15,West Kalimantan,129,22,3,104
2020-05-15,West Nusa Tenggara,358,188,7,163
2020-05-15,West Papua,88,2,1,85
2020-05-15,West Sulawesi,74,22,2,50
2020-05-15,West Sumatra,393,88,21,284
2020-05-15,Under investigation,21,0,0,21
2020-05-14,Aceh,17,13,1,3
2020-05-14,Bali,337,223,4,110
2020-05-14,Bangka Belitung Islands,29,7,1,21
2020-05-14,Banten,593,158,57,378
2020-05-14,Bengkulu,42,1,2,39
2020-05-14,Central Java,1066,229,66,771
2020-05-14,Central Kalimantan,223,40,7,176
2020-05-14,Central Sulawesi,111,21,4,86
2020-05-14,East Java,1863,278,167,1418
2020-05-14,East Kalimantan,238,57,3,178
2020-05-14,East Nusa Tenggara,19,1,1,17
2020-05-14,Gorontalo,21,13,1,7
2020-05-14,Jakarta,5668,1162,452,4074
2020-05-14,Jambi,66,3,0,63
2020-05-14,Lampung,66,22,5,39
2020-05-14,Maluku,62,17,4,41
2020-05-14,North Kalimantan,138,20,1,117
2020-05-14,North Maluku,81,11,3,67
2020-05-14,North Sulawesi,83,30,5,48
2020-05-14,North Sumatra,202,53,24,125
2020-05-14,Papua,332,48,6,278
2020-05-14,Riau,94,49,6,39
2020-05-14,Riau Islands,111,77,11,23
2020-05-14,South Kalimantan,294,24,9,261
2020-05-14,South Sulawesi,840,293,51,496
2020-05-14,South Sumatra,441,73,9,359
2020-05-14,Southeast Sulawesi,167,17,3,147
2020-05-14,Yogyakarta,185,68,7,110
2020-05-14,West Java,1565,242,99,1224
2020-05-14,West Kalimantan,129,22,3,104
2020-05-14,West Nusa Tenggara,350,138,7,205
2020-05-14,West Papua,88,2,1,85
2020-05-14,West Sulawesi,74,20,2,52
2020-05-14,West Sumatra,371,86,21,264
2020-05-14,Under investigation,21,0,0,21
2020-05-13,Aceh,17,12,1,4
2020-05-13,Bali,332,220,4,108
2020-05-13,Bangka Belitung Islands,29,7,1,21
2020-05-13,Banten,580,157,57,366
2020-05-13,Bengkulu,40,1,1,38
2020-05-13,Central Java,1023,229,66,728
2020-05-13,Central Kalimantan,220,30,7,183
2020-05-13,Central Sulawesi,95,13,3,79
2020-05-13,East Java,1772,274,163,1335
2020-05-13,East Kalimantan,230,46,3,184
2020-05-13,East Nusa Tenggara,16,1,0,15
2020-05-13,Gorontalo,19,12,1,6
2020-05-13,Jakarta,5554,1026,449,4079
2020-05-13,Jambi,65,3,0,62
2020-05-13,Lampung,66,22,5,39
2020-05-13,Maluku,50,17,4,29
2020-05-13,North Kalimantan,138,14,1,123
2020-05-13,North Maluku,54,8,0,46
2020-05-13,North Sulawesi,74,26,5,43
2020-05-13,North Sumatra,198,48,24,126
2020-05-13,Papua,322,48,6,268
2020-05-13,Riau,81,49,6,26
2020-05-13,Riau Islands,111,77,11,23
2020-05-13,South Kalimantan,291,24,9,258
2020-05-13,South Sulawesi,747,283,49,415
2020-05-13,South Sumatra,322,73,9,240
2020-05-13,Southeast Sulawesi,76,16,2,58
2020-05-13,Yogyakarta,181,68,7,106
2020-05-13,West Java,1556,237,98,1234
2020-05-13,West Kalimantan,129,22,3,104
2020-05-13,West Nusa Tenggara,344,114,7,223
2020-05-13,West Papua,70,2,1,67
2020-05-13,West Sulawesi,68,7,2,59
2020-05-13,West Sumatra,339,83,19,237
2020-05-13,Under investigation,21,0,0,21
2020-05-12,Aceh,17,12,1,4
2020-05-12,Bali,328,215,4,109
2020-05-12,Bangka Belitung Islands,29,7,1,21
2020-05-12,Banten,559,153,56,350
2020-05-12,Bengkulu,40,1,1,38
2020-05-12,Central Java,989,229,66,694
2020-05-12,Central Kalimantan,204,30,7,167
2020-05-12,Central Sulawesi,95,13,3,79
2020-05-12,East Java,1669,258,155,1256
2020-05-12,East Kalimantan,228,41,3,184
2020-05-12,East Nusa Tenggara,16,1,0,15
2020-05-12,Gorontalo,19,12,1,6
2020-05-12,Jakarta,5375,924,443,4008
2020-05-12,Jambi,65,3,0,62
2020-05-12,Lampung,66,22,5,39
2020-05-12,Maluku,50,17,4,29
2020-05-12,North Kalimantan,132,7,1,124
2020-05-12,North Maluku,54,8,0,46
2020-05-12,North Sulawesi,74,26,5,43
2020-05-12,North Sumatra,198,48,24,126
2020-05-12,Papua,322,48,6,268
2020-05-12,Riau,81,49,6,26
2020-05-12,Riau Islands,106,72,11,23
2020-05-12,South Kalimantan,277,24,9,244
2020-05-12,South Sulawesi,747,283,49,415
2020-05-12,South Sumatra,279,64,9,206
2020-05-12,Southeast Sulawesi,76,16,2,58
2020-05-12,Yogyakarta,169,63,7,99
2020-05-12,West Java,1545,213,98,1234
2020-05-12,West Kalimantan,123,20,3,100
2020-05-12,West Nusa Tenggara,339,105,6,228
2020-05-12,West Papua,70,2,1,67
2020-05-12,West Sulawesi,68,7,2,59
2020-05-12,West Sumatra,319,70,18,231
2020-05-12,Under investigation,21,0,0,21
2020-05-11,Aceh,17,11,1,5
2020-05-11,Bali,314,210,4,100
2020-05-11,Bangka Belitung Islands,29,7,1,21
2020-05-11,Banten,541,146,56,339
2020-05-11,Bengkulu,37,1,1,35
2020-05-11,Central Java,980,229,66,685
2020-05-11,Central Kalimantan,193,30,7,156
2020-05-11,Central Sulawesi,83,12,3,68
2020-05-11,East Java,1536,244,149,1143
2020-05-11,East Kalimantan,218,34,2,182
2020-05-11,East Nusa Tenggara,12,1,0,11
2020-05-11,Gorontalo,19,11,1,7
2020-05-11,Jakarta,5276,812,441,4023
2020-05-11,Jambi,65,3,0,62
2020-05-11,Lampung,66,21,5,40
2020-05-11,Maluku,32,12,2,18
2020-05-11,North Kalimantan,131,7,1,124
2020-05-11,North Maluku,54,8,0,46
2020-05-11,North Sulawesi,71,17,4,50
2020-05-11,North Sumatra,179,48,21,110
2020-05-11,Papua,308,48,6,254
2020-05-11,Riau,73,39,6,28
2020-05-11,Riau Islands,101,68,11,22
2020-05-11,South Kalimantan,263,24,9,230
2020-05-11,South Sulawesi,722,265,47,410
2020-05-11,South Sumatra,278,55,9,214
2020-05-11,Southeast Sulawesi,76,16,2,58
2020-05-11,Yogyakarta,159,61,7,91
2020-05-11,West Java,1493,213,95,1185
2020-05-11,West Kalimantan,120,12,3,105
2020-05-11,West Nusa Tenggara,330,92,6,232
2020-05-11,West Papua,70,2,1,67
2020-05-11,West Sulawesi,62,5,2,55
2020-05-11,West Sumatra,299,56,17,226
